Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
93,0,294.913,-425.76,1242.03,385.648,-354.862,1251.64,302.236,-341.959,1205.18,,,,,,,318.046,-357.987,1130.52
94,0,294.902,-425.66,1241.98,385.674,-354.756,1251.56,302.249,-341.804,1205.07,,,,,,,318.118,-358.035,1130.58
95,0,294.975,-425.609,1242.01,385.689,-354.647,1251.54,302.266,-342.093,1205.17,,,,,,,318.158,-358.059,1130.54
96,0,294.889,-425.614,1241.94,385.677,-354.614,1251.53,302.191,-342.044,1205.1,,,,,,,318.152,-358.061,1130.52
97,0,294.889,-425.604,1241.97,385.669,-354.6,1251.57,302.229,-341.893,1205.02,,,,,,,318.17,-358.09,1130.52
98,0,294.998,-425.573,1241.94,385.677,-354.578,1251.59,302.208,-341.94,1205.04,,,,,,,318.19,-358.11,1130.52
99,0,295.006,-425.627,1242.04,385.695,-354.611,1251.61,302.272,-341.976,1205.13,,,,,,,318.128,-358.076,1130.47
100,0,294.972,-425.688,1242.11,385.695,-354.601,1251.56,302.351,-341.955,1205.18,,,,,,,318.413,-358.103,1130.78
101,0,294.983,-425.741,1242.23,385.749,-354.686,1251.64,302.406,-341.889,1205.27,,,,,,,318.363,-357.964,1130.88
102,0,295.068,-425.709,1242.3,385.757,-354.735,1251.66,302.318,-342.068,1205.46,,,,,,,318.323,-357.999,1130.6
103,0,295.062,-425.749,1242.31,385.795,-354.753,1251.68,302.311,-342.131,1205.6,,,,,,,318.332,-357.966,1130.63
104,0,295.082,-425.714,1242.23,385.787,-354.797,1251.68,302.241,-342.045,1205.57,,,,,,,318.246,-357.973,1130.68
105,0,295.028,-425.755,1242.26,385.749,-354.823,1251.69,302.287,-342.1,1205.64,,,,,,,318.25,-357.808,1130.68
106,0,294.983,-425.717,1242.25,385.723,-354.766,1251.74,302.22,-342.1,1205.67,,,,,,,318.124,-357.797,1130.68
107,0,295,-425.697,1242.31,385.683,-354.761,1251.73,302.202,-342.044,1205.58,,,,,,,318.053,-357.759,1130.69
108,0,294.969,-425.634,1242.22,385.651,-354.741,1251.73,302.089,-341.981,1205.47,,,,,,,318.03,-357.921,1130.66
109,0,294.908,-425.647,1242.22,385.657,-354.739,1251.73,302.105,-342.004,1205.45,,,,,,,318.082,-357.964,1130.61
110,0,294.906,-425.647,1242.24,385.633,-354.809,1251.75,302.201,-342.091,1205.52,,,,,,,318.455,-358.079,1130.84
111,0,294.895,-425.715,1242.33,385.653,-354.859,1251.81,302.146,-342.155,1205.59,,,,,,,318.462,-358.069,1130.82
112,0,294.848,-425.798,1242.4,385.645,-354.937,1251.91,302.211,-342.051,1205.56,,,,,,,318.372,-358.173,1130.7
113,0,294.833,-425.899,1242.34,385.61,-355.062,1252.02,302.193,-342.168,1205.57,,,,,,,318.408,-358.188,1130.75
114,0,294.798,-426.06,1242.4,385.61,-355.21,1252.1,302.182,-342.279,1205.63,,,,,,,318.391,-358.243,1130.77
115,0,294.758,-426.188,1242.45,385.538,-355.3,1252.22,302.105,-342.461,1205.79,,,,,,,318.407,-358.264,1130.8
116,0,294.71,-426.305,1242.53,385.508,-355.357,1252.28,301.98,-342.454,1205.96,,,,,,,318.351,-358.227,1130.85
117,0,294.72,-426.327,1242.53,385.504,-355.382,1252.32,302.001,-342.463,1206.04,,,,,,,318.3,-358.186,1130.87
