Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
50,0,-662.27,-163.057,1241.94,-632.39,-274.823,1244.96,-591.697,-200.314,1199.59,-637.504,-179.646,1168.07,-616.632,-245.206,1161.79,-615.085,-207.233,1133.93
51,0,-662.053,-163.063,1241.89,-631.792,-275.176,1245.07,-591.713,-200.761,1199.56,-637.362,-179.596,1168.13,-616.592,-245.212,1161.8,-614.874,-207.22,1133.94
52,0,-661.849,-163.081,1241.87,-631.986,-274.901,1245.05,-591.608,-200.789,1199.55,-637.048,-179.528,1168.16,-616.557,-245.174,1161.76,-614.545,-207.024,1134.12
53,0,-661.67,-163.067,1241.89,-631.93,-275.018,1244.99,-591.609,-200.598,1199.75,-636.564,-179.516,1168.25,-616.417,-245.206,1161.77,-614.238,-207.013,1134.19
54,0,-661.609,-163.048,1241.94,-631.895,-274.776,1245.02,-591.299,-200.561,1199.76,-636.493,-179.296,1168.29,-616.199,-245.096,1161.84,-614.025,-206.862,1134.22
55,0,-661.557,-163.015,1242.04,-631.813,-274.653,1245.04,-591.138,-200.461,1199.77,-636.25,-179.17,1168.33,-616.052,-244.898,1161.82,-613.898,-206.773,1134.19
56,0,-661.475,-162.932,1242.08,-631.629,-274.655,1245.07,-590.919,-200.144,1199.79,-636.025,-179.029,1168.35,-615.904,-244.75,1161.84,-613.773,-206.715,1134.17
57,0,-661.387,-162.864,1242.1,-631.401,-274.668,1245.13,-590.687,-199.966,1199.81,-635.858,-178.828,1168.4,-615.81,-244.683,1161.8,-613.734,-206.705,1134.13
58,0,-661.264,-162.827,1242.06,-631.109,-274.697,1245.11,-590.5,-199.757,1199.84,-635.682,-178.739,1168.38,-615.603,-244.534,1161.82,-613.784,-206.815,1134.01
59,0,-661.288,-162.515,1242.26,-631.024,-274.554,1245.08,-590.407,-199.745,1199.76,-636,-178.951,1168.15,-615.51,-244.42,1161.8,-613.749,-206.723,1134.02
60,0,-661.334,-161.92,1242.52,-630.945,-274.353,1245.09,-590.466,-199.842,1199.77,-635.604,-178.694,1168.26,-615.455,-244.274,1161.76,-613.733,-206.64,1133.98
61,0,-661.018,-162.233,1242.04,-630.903,-274.119,1245.09,-590.388,-199.656,1199.7,-635.595,-178.6,1168.14,-615.372,-244.14,1161.76,-613.645,-206.495,1133.98
62,0,-660.934,-161.71,1242.06,-630.884,-273.847,1245.09,-590.307,-199.338,1199.72,-635.302,-178.048,1168.1,-615.376,-243.945,1161.66,-613.55,-206.286,1134.01
63,0,-660.929,-161.462,1242.13,-630.802,-273.601,1245.07,-590.234,-199.168,1199.69,-635.147,-177.734,1168.14,-615.221,-243.719,1161.7,-613.518,-206.143,1133.94
64,0,-660.494,-161.165,1241.57,-630.732,-273.411,1245.15,-590.234,-199.005,1199.66,-635.545,-178.254,1167.83,-615.151,-243.545,1161.73,-613.437,-205.934,1133.86
65,0,-660.734,-161.027,1241.79,-630.654,-273.18,1245.13,-590.231,-198.736,1199.61,-635.453,-177.976,1167.78,-615.031,-243.351,1161.82,-613.315,-205.677,1133.87
66,0,-660.736,-160.85,1241.79,-630.593,-272.916,1245.09,-590.328,-198.557,1199.56,-635.446,-177.854,1167.69,-615.099,-243.173,1161.76,-613.251,-205.527,1133.85
67,0,-660.703,-160.726,1241.69,-630.551,-272.697,1245.05,-590.266,-198.476,1199.52,-635.03,-177.156,1167.8,-615.007,-243.078,1161.7,-613.29,-205.269,1133.81
68,0,-660.631,-160.567,1241.58,-630.537,-272.51,1245.02,-590.253,-198.286,1199.38,-635.002,-177.032,1167.62,-615.025,-242.921,1161.58,-612.96,-205.32,1134.02
69,0,-660.596,-160.458,1241.5,-630.532,-272.395,1245.04,-590.215,-198.2,1199.37,-634.996,-176.876,1167.49,-614.995,-242.831,1161.57,-613.145,-205.116,1133.68
70,0,-660.555,-160.356,1241.45,-630.513,-272.272,1245.05,-590.064,-198.018,1199.39,-634.95,-176.832,1167.48,-614.937,-242.726,1161.51,-613.191,-205.068,1133.58
71,0,-660.563,-160.294,1241.43,-630.532,-272.182,1245.05,-590.017,-197.924,1199.39,-634.865,-176.75,1167.45,-614.798,-242.593,1161.52,-613.215,-205.091,1133.56
72,0,-660.506,-160.245,1241.41,-630.554,-272.137,1245.07,-589.937,-197.734,1199.41,-634.858,-176.69,1167.43,-614.843,-242.546,1161.52,-612.985,-204.799,1133.69
73,0,-660.529,-160.199,1241.42,-630.575,-272.134,1245.08,-589.984,-197.871,1199.4,-634.848,-176.665,1167.46,-614.834,-242.593,1161.61,-613.114,-204.933,1133.6
74,0,-660.538,-160.194,1241.43,-630.636,-272.117,1245.08,-590.037,-197.943,1199.44,-634.859,-176.715,1167.39,-614.884,-242.562,1161.57,-613.159,-204.942,1133.62
75,0,-660.551,-160.215,1241.4,-630.713,-272.143,1245.09,-590.04,-197.912,1199.44,-634.854,-176.704,1167.43,-614.991,-242.705,1161.57,-613.161,-204.976,1133.61
76,0,-660.623,-160.233,1241.47,-630.792,-272.18,1245.16,-590.257,-198.147,1199.4,-634.917,-176.758,1167.44,-615.109,-242.746,1161.54,-613.261,-205.087,1133.65
77,0,-660.683,-160.254,1241.46,-630.894,-272.202,1245.18,-590.297,-198.199,1199.42,-634.993,-176.693,1167.46,-615.108,-242.787,1161.6,-613.292,-205.074,1133.67
78,0,-660.726,-160.289,1241.5,-630.976,-272.283,1245.21,-590.335,-198.247,1199.47,-634.956,-176.743,1167.58,-615.204,-242.817,1161.68,-613.366,-205.193,1133.71
79,0,-660.752,-160.345,1241.53,-631.091,-272.235,1245.23,-590.731,-198.283,1199.46,-634.95,-176.727,1167.67,-615.233,-242.822,1161.74,-613.46,-205.202,1133.69
80,0,-660.698,-160.288,1241.5,-631.396,-273.33,1245.84,-590.73,-198.317,1199.52,-635.043,-176.799,1167.79,-615.344,-242.785,1161.85,-613.551,-205.286,1133.72
81,0,-660.728,-160.363,1241.55,-631.301,-272.502,1245.32,-590.909,-198.5,1199.57,-635.1,-176.939,1167.88,-615.47,-242.84,1161.87,-613.6,-205.346,1133.78
82,0,-660.823,-160.433,1241.62,-631.387,-272.661,1245.3,-591.013,-198.604,1199.64,-635.176,-176.998,1167.98,-615.591,-242.872,1161.96,-613.72,-205.311,1133.82
83,0,-660.893,-160.479,1241.69,-631.596,-272.914,1245.33,-590.765,-198.582,1199.84,-635.205,-177.002,1168.04,-615.722,-242.937,1162,-613.855,-205.57,1133.78
84,0,-660.92,-160.499,1241.66,-631.692,-272.875,1245.47,-590.752,-198.698,1199.84,-635.729,-177.625,1167.9,-615.884,-242.93,1162,-613.969,-205.638,1133.79
85,0,-660.984,-160.527,1241.67,-631.814,-272.96,1245.52,-590.871,-198.792,1199.87,-635.759,-177.727,1167.99,-616.044,-242.929,1161.97,-614.05,-205.746,1133.81
86,0,-661.083,-160.534,1241.7,-631.932,-273.022,1245.56,-591.011,-198.829,1199.89,-635.802,-177.691,1168.1,-616.115,-242.95,1162.02,-614.128,-205.766,1133.82
87,0,-661.203,-160.493,1241.72,-632.014,-273.099,1245.66,-591.136,-198.875,1199.89,-635.851,-177.636,1168.16,-616.34,-242.962,1161.96,-614.322,-205.903,1133.78
88,0,-661.44,-160.607,1241.85,-632.164,-273.139,1245.66,-591.275,-198.909,1199.92,-635.87,-177.617,1168.24,-616.42,-242.99,1162.04,-614.463,-205.919,1133.76
89,0,-661.617,-160.586,1241.9,-632.166,-273.191,1245.76,-591.287,-199.014,1200.02,-635.504,-177.26,1168.21,-616.511,-242.965,1162.1,-614.6,-205.944,1133.86
90,0,-661.805,-160.658,1241.94,-632.368,-273.213,1245.73,-591.411,-199.038,1200.05,-635.631,-177.304,1168.2,-616.546,-242.873,1162.2,-617.683,-206.208,1132.38
91,0,-661.952,-160.658,1242.01,-632.468,-273.247,1245.73,-591.658,-199.014,1200.02,-635.722,-177.427,1168.25,-616.583,-242.892,1162.23,-617.836,-206.324,1132.41
92,0,-662.088,-160.704,1242.08,-632.564,-273.277,1245.77,-591.779,-199.027,1200.07,-635.863,-177.582,1168.22,-616.69,-242.952,1162.19,-616.731,-206.652,1132.93
93,0,-662.199,-160.748,1242.1,-632.666,-273.338,1245.77,-591.662,-198.897,1200.19,-636.177,-177.713,1168.26,-616.766,-243.031,1162.26,-616.853,-206.709,1132.99
94,0,-662.308,-160.792,1242.13,-632.796,-273.391,1245.78,-591.85,-199.063,1200.2,-636.206,-177.607,1168.22,-616.945,-243.158,1162.18,-615.245,-206.374,1133.92
95,0,-662.437,-160.836,1242.18,-632.972,-273.386,1245.74,-592.135,-199.316,1200.21,-636.301,-177.707,1168.25,-617.087,-243.282,1162.24,-615.318,-206.41,1133.92
96,0,-662.54,-160.921,1242.2,-633.088,-273.553,1245.78,-592.207,-199.376,1200.23,-636.431,-177.777,1168.27,-617.221,-243.434,1162.29,-615.455,-206.48,1133.96
97,0,-662.664,-160.923,1242.29,-633.205,-273.643,1245.82,-592.271,-199.462,1200.27,-636.641,-177.789,1168.38,-617.321,-243.567,1162.35,-615.493,-206.532,1134.02
98,0,-662.792,-160.914,1242.4,-633.302,-273.785,1245.94,-592.315,-199.532,1200.34,-636.717,-177.845,1168.42,-617.399,-243.685,1162.32,-615.52,-206.545,1134.07
99,0,-662.769,-161.381,1242.22,-633.43,-273.936,1246.01,-592.355,-199.628,1200.37,-636.851,-178.037,1168.5,-617.484,-243.787,1162.37,-615.537,-206.582,1134.13
100,0,-662.851,-161.393,1242.26,-633.578,-274.029,1246.03,-592.401,-199.695,1200.41,-636.811,-178.077,1168.43,-617.591,-243.859,1162.36,-615.618,-206.652,1134.16
101,0,-663.001,-161.202,1242.41,-633.91,-273.78,1245.95,-592.458,-199.806,1200.42,-636.864,-178.114,1168.43,-617.672,-243.921,1162.39,-615.598,-206.689,1134.28
102,0,-662.878,-161.299,1242.3,-634.018,-273.888,1245.99,-592.506,-199.904,1200.47,-636.866,-178.118,1168.46,-617.797,-243.958,1162.49,-615.626,-206.698,1134.31
103,0,-663.072,-161.454,1242.42,-634.147,-274.014,1246.06,-592.558,-199.952,1200.54,-636.894,-178.112,1168.51,-617.777,-244.064,1162.57,-615.657,-206.746,1134.34
104,0,-662.954,-161.445,1242.36,-634.241,-274.066,1246.1,-592.578,-199.992,1200.64,-636.852,-178.128,1168.54,-617.842,-244.058,1162.6,-615.68,-206.767,1134.39
105,0,-663.108,-161.611,1242.5,-634.312,-274.088,1246.09,-592.603,-200.119,1200.73,-636.836,-178.085,1168.67,-617.878,-244.137,1162.64,-615.673,-206.775,1134.44
106,0,-663.117,-161.715,1242.55,-634.369,-274.194,1246.1,-592.671,-200.257,1200.82,-636.812,-178.044,1168.73,-617.913,-244.148,1162.69,-615.63,-206.786,1134.51
107,0,-663.11,-161.794,1242.62,-634.43,-274.295,1246.11,-592.644,-200.35,1200.91,-637.284,-178.89,1168.53,-617.973,-244.23,1162.74,-615.635,-206.825,1134.54
108,0,-663.128,-161.874,1242.65,-634.492,-274.332,1246.11,-592.721,-200.516,1200.99,-637.232,-178.914,1168.58,-617.999,-244.315,1162.74,-615.632,-206.861,1134.6
109,0,-663.147,-161.939,1242.69,-634.553,-274.398,1246.12,-592.73,-200.509,1200.96,-637.262,-178.939,1168.58,-618.046,-244.359,1162.78,-615.656,-206.902,1134.62
110,0,-663.15,-161.963,1242.71,-634.628,-274.468,1246.1,-592.781,-200.669,1201.01,-637.334,-179.034,1168.56,-618.081,-244.392,1162.75,-615.734,-206.979,1134.63
111,0,-663.159,-162.02,1242.72,-634.711,-274.526,1246.1,-592.769,-200.724,1200.99,-637.336,-179.048,1168.56,-618.182,-244.438,1162.71,-615.764,-207.004,1134.61
112,0,-663.169,-162.066,1242.72,-634.768,-274.551,1246.1,-592.836,-200.809,1201.03,-637.338,-179.049,1168.56,-618.277,-244.501,1162.62,-615.848,-207.053,1134.6
113,0,-663.221,-162.103,1242.73,-634.842,-274.517,1246.08,-592.809,-200.468,1200.98,-637.469,-179.133,1168.51,-618.274,-244.394,1162.44,-615.942,-207.076,1134.63
114,0,-663.28,-162.001,1242.77,-634.899,-274.532,1246.06,-592.895,-200.493,1200.86,-637.188,-178.565,1168.73,-618.392,-244.482,1162.49,-616.008,-207.12,1134.57
115,0,-663.32,-162.063,1242.74,-635.017,-274.468,1246.12,-592.998,-200.553,1200.83,-637.271,-178.625,1168.72,-618.37,-244.449,1162.46,-616.099,-207.15,1134.57
116,0,-663.374,-162.141,1242.72,-635.09,-274.463,1246.07,-593.08,-200.595,1200.81,-637.366,-178.625,1168.69,-618.42,-244.443,1162.41,-616.154,-207.149,1134.58
117,0,-663.463,-162.113,1242.77,-635.064,-274.483,1246.07,-593.138,-200.603,1200.81,-637.406,-178.635,1168.7,-618.459,-244.479,1162.55,-616.255,-207.121,1134.55
118,0,-663.546,-162.222,1242.78,-635.155,-274.459,1246,-593.242,-200.71,1200.84,-637.437,-178.639,1168.71,-618.445,-244.411,1162.46,-616.282,-207.112,1134.58
119,0,-663.592,-162.253,1242.78,-635.228,-274.502,1246.01,-593.315,-200.743,1200.84,-637.152,-178.368,1168.85,-618.458,-244.493,1162.43,-616.329,-207.18,1134.56
120,0,-663.617,-162.321,1242.75,-635.53,-274.225,1245.89,-593.352,-200.802,1200.82,-637.361,-178.594,1168.74,-618.503,-244.519,1162.44,-616.338,-207.225,1134.59
121,0,-663.62,-162.353,1242.75,-635.387,-274.525,1245.96,-593.383,-200.916,1200.81,-637.228,-178.52,1168.78,-618.517,-244.554,1162.43,-616.406,-207.298,1134.58
122,0,-663.619,-162.384,1242.77,-635.508,-274.537,1245.9,-593.494,-201.222,1200.83,-637.329,-178.681,1168.72,-618.595,-244.667,1162.55,-616.437,-207.345,1134.65
123,0,-663.643,-162.425,1242.77,-635.566,-274.61,1245.88,-593.514,-201.282,1200.81,-637.412,-178.807,1168.68,-618.614,-244.705,1162.56,-616.434,-207.414,1134.62
124,0,-663.625,-162.517,1242.75,-635.449,-274.764,1245.89,-593.582,-201.312,1200.74,-637.436,-178.886,1168.65,-618.718,-244.765,1162.54,-616.619,-207.619,1134.54
125,0,-663.632,-162.542,1242.76,-635.486,-274.812,1245.86,-593.601,-201.366,1200.74,-637.791,-179.4,1168.49,-618.727,-244.859,1162.55,-616.743,-207.771,1134.42
126,0,-663.622,-162.611,1242.74,-635.712,-274.769,1245.78,-593.648,-201.451,1200.67,-638.127,-179.664,1168.25,-618.841,-244.916,1162.58,-616.858,-207.925,1134.39
127,0,-663.651,-162.644,1242.78,-635.722,-274.835,1245.85,-593.667,-201.491,1200.66,-637.821,-179.494,1168.49,-618.827,-245.048,1162.62,-616.932,-208.04,1134.34
128,0,-663.629,-162.7,1242.76,-635.771,-274.942,1245.89,-593.624,-201.589,1200.68,-637.816,-179.526,1168.55,-618.87,-245.101,1162.64,-616.933,-208.074,1134.34
129,0,-663.643,-162.753,1242.79,-635.797,-275.017,1245.92,-593.658,-201.62,1200.72,-637.818,-179.571,1168.56,-618.938,-245.145,1162.64,-616.99,-208.132,1134.36
130,0,-663.626,-162.844,1242.78,-635.84,-275.093,1245.96,-593.604,-201.712,1200.79,-637.788,-179.621,1168.57,-618.972,-245.098,1162.82,-616.978,-208.191,1134.36
131,0,-663.566,-162.898,1242.77,-635.806,-275.147,1246,-593.609,-201.712,1200.87,-637.745,-179.658,1168.6,-618.979,-245.181,1162.89,-616.968,-208.218,1134.37
132,0,-663.499,-162.947,1242.79,-635.938,-275.253,1245.82,-593.582,-201.766,1200.95,-637.704,-179.665,1168.65,-618.937,-245.246,1162.83,-616.892,-208.144,1134.56
133,0,-663.469,-162.986,1242.79,-635.812,-275.156,1245.91,-593.548,-201.82,1201,-637.69,-179.646,1168.75,-618.934,-245.259,1162.87,-616.875,-208.19,1134.55
134,0,-663.425,-162.939,1242.79,-635.838,-275.172,1245.88,-593.514,-201.813,1201.04,-637.635,-179.664,1168.77,-618.91,-245.294,1162.92,-616.586,-207.964,1134.74
135,0,-663.376,-162.917,1242.79,-635.837,-275.151,1245.93,-593.522,-201.831,1201.02,-637.643,-179.604,1168.77,-618.867,-245.324,1162.97,-616.83,-208.195,1134.6
136,0,-663.414,-162.884,1242.81,-635.983,-275.282,1245.82,-593.513,-201.827,1201.03,-637.607,-179.665,1168.78,-618.918,-245.322,1162.89,-616.796,-208.23,1134.58
137,0,-663.454,-162.798,1242.83,-636.041,-275.222,1245.79,-593.487,-201.831,1201.01,-637.605,-179.643,1168.64,-618.853,-245.266,1162.85,-616.79,-208.218,1134.56
138,0,-663.452,-162.708,1242.81,-636.011,-275.199,1245.79,-593.503,-201.791,1200.97,-637.601,-179.609,1168.59,-618.928,-245.239,1162.76,-616.834,-208.221,1134.47
139,0,-663.459,-162.656,1242.77,-635.8,-275.094,1245.92,-593.526,-201.751,1200.86,-637.63,-179.547,1168.56,-618.969,-245.142,1162.72,-616.842,-208.169,1134.45
140,0,-663.458,-162.539,1242.76,-635.913,-274.89,1245.85,-593.553,-201.694,1200.74,-637.669,-179.491,1168.48,-618.955,-245.1,1162.66,-616.933,-208.156,1134.3
